eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum,collidesAtPos,collidesAtTime,collidesWithEvent
0,0,0,0,8,2,13,2,0,3,[ 6.60673515 24.30499804  0.03718936],31.898419024895368,3
1,1,4,2,0,0,12,6,0,5,[19.23001359 19.39269584 19.35458038],7.632244115151268,5
2,2,7,1,0,1,17,0,1,6,[12.16101836 19.51270109 19.47118905],6.307636728813657,6
3,3,9,2,9,2,14,7,0,0,[ 6.37403398 24.32941471 -0.58238855],31.898419024895368,0
4,4,1,0,7,0,15,3,0,-2,-2,-2,-2
5,5,3,1,4,0,10,2,0,1,[19.11112459 19.22558397 20.09239136],7.632244115151268,1
6,6,6,0,9,3,11,2,2,2,[12.03510259 19.16064593 19.79805676],6.307636728813657,2
7,7,4,1,7,1,16,8,1,9,[12.21036004 21.39049532  6.78926653],25.348504880746127,9
8,8,1,2,9,2,19,2,1,-2,-2,-2,-2
9,9,9,0,5,1,18,2,0,7,[12.14052838 21.1917585   7.40605622],25.348504880746127,7
10,5,2,0,9,2,27,3,2,0,[21.44388991 19.15529819 19.72899812],30.07306757569157,13
11,6,2,2,4,2,26,2,0,-2,-2,-2,-2
12,1,6,0,8,1,20,4,1,3,[11.33915765 19.72296667 16.16539308],34.79565539750806,14
13,0,2,0,7,1,22,5,2,5,[21.93513023 19.01133496 20.40930411],30.07306757569157,10
14,3,7,0,4,3,21,0,2,1,[11.10052971 20.21262038 16.8376392 ],34.79565539750806,12
15,4,3,0,9,0,24,7,0,-2,-2,-2,-2
16,7,8,1,6,0,25,9,1,-2,-2,-2,-2
17,2,0,1,3,3,28,5,0,-2,-2,-2,-2
18,9,2,0,0,2,23,3,1,-2,-2,-2,-2
19,8,2,1,9,3,29,5,1,-2,-2,-2,-2
20,1,4,1,1,0,30,8,2,-2,-2,-2,-2
21,3,0,2,2,1,32,5,1,-2,-2,-2,-2
22,0,5,2,3,2,33,8,0,9,[16.05884227 20.45794689 18.14374932],63.78314880696899,23
