eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum,collidesAtPos,collidesAtTime,collidesWithEvent
0,0,2,0,6,3,10,5,1,1,[12.73158706 25.71588004  1.35062198],24.20176273652002,1
1,1,5,1,6,3,12,2,1,0,[13.05715968 25.30841713  2.57243253],24.20176273652002,0
2,2,4,0,0,1,13,9,0,3,[23.03984706 20.99908522  8.5550891 ],16.62659893577245,3
3,3,3,0,0,0,11,1,1,2,[23.86389314 19.91084838  8.68888599],16.62659893577245,2
4,4,7,0,0,1,16,6,2,5,[16.18419887 20.23790171 13.09450898],14.63068847231834,5
5,5,3,0,6,0,14,7,2,4,[16.47378835 19.67507476 11.88143703],14.63068847231834,4
6,6,4,1,8,1,15,6,0,-2,-2,-2,-2
7,7,1,1,7,2,18,3,1,-2,-2,-2,-2
8,8,4,1,7,0,17,9,1,-2,-2,-2,-2
9,9,5,2,9,0,19,6,1,-2,-2,-2,-2
10,0,5,1,4,1,20,7,2,-2,-2,-2,-2
11,3,1,1,1,3,22,0,2,1,[24.08173503 17.92903593 26.09007795],22.15966370928958,12
12,1,2,1,7,0,23,5,0,3,[23.60458323 18.84158881 25.98075333],22.15966370928958,11
13,2,9,0,7,2,21,4,2,-2,-2,-2,-2
14,5,7,2,7,1,25,4,2,6,[ 9.5141328  18.47836624 29.32566797],23.009340248062593,15
15,6,6,0,4,0,24,6,0,5,[ 9.66601648 18.46646445 28.24692393],23.009340248062593,14
16,4,6,2,4,3,26,8,2,-2,-2,-2,-2
17,8,9,1,1,2,28,9,2,7,[14.17079508 21.33294914 12.65666539],48.69636608365152,18
18,7,3,1,8,1,27,4,0,8,[14.18670298 20.51140921 12.72628651],48.69636608365152,17
19,9,6,1,0,3,29,0,0,-2,-2,-2,-2
20,0,7,2,7,2,31,8,2,6,[ 9.77835974 19.35709916 23.46850654],51.63912216119618,24
21,2,4,2,0,0,32,5,2,3,[23.58974705 19.99694423  9.00489825],69.31421088115604,22
22,3,0,2,2,0,33,3,2,2,[23.53389984 19.96544306  9.54445637],69.31421088115604,21
23,1,5,0,4,2,30,6,0,-2,-2,-2,-2
24,6,6,0,0,2,35,8,0,0,[10.11901412 18.41733499 22.55087719],51.63912216119618,20
25,5,4,2,4,2,34,7,2,-2,-2,-2,-2
26,4,8,2,0,3,38,4,0,-2,-2,-2,-2
27,7,4,0,8,1,36,6,1,-2,-2,-2,-2
28,8,9,2,4,1,39,8,2,-2,-2,-2,-2
29,9,0,0,2,0,37,1,1,-2,-2,-2,-2
30,1,6,0,5,1,40,2,2,-2,-2,-2,-2
31,0,8,2,8,0,41,5,1,6,[ 7.59559854 19.39052635 19.39173977],83.84762470381236,35
32,2,5,2,2,3,43,1,0,3,[16.54484563 20.80560798 18.67634952],86.99366261620942,33
33,3,3,2,8,3,44,9,2,2,[16.56681798 20.70694867 19.0275497 ],86.99366261620942,32
34,5,7,2,4,3,45,8,1,-2,-2,-2,-2
35,6,8,0,4,1,42,9,0,0,[ 7.58973643 19.15337534 19.56222723],83.84762470381236,31
36,7,6,1,6,3,46,4,0,-2,-2,-2,-2
37,9,1,1,8,1,48,5,0,4,[14.42729262 20.95568528  9.72581151],108.58413451051831,38
38,4,4,0,6,1,47,9,0,9,[14.90573653 20.63559488 10.72281248],108.58413451051831,37
39,8,8,2,6,2,49,1,1,-2,-2,-2,-2
40,1,2,2,1,0,50,1,2,-2,-2,-2,-2
41,0,5,1,0,2,52,7,2,2,[23.93625374 22.77475485  6.41304413],126.04341776635447,43
42,6,9,0,3,0,53,5,0,7,[23.01447112 20.70006225 -1.99765962],139.98649731989613,46
43,2,1,0,1,2,51,5,0,0,[24.27555236 22.96804541  5.14952916],126.04341776635447,41
